id,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,bonusPointsEarnedReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId,receiptId
32,null,null,null,null,1,9,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
33,null,null,null,null,1,10,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
34,null,null,null,null,1,11,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
35,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b20a7214ada100055a
36,null,null,null,null,1,1,1,null,4011,1,25.00,3,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1e90a7214ada1000569
37,null,null,null,null,1,2,1,null,034100573065,1,27.00,3,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1e90a7214ada1000569
38,4011,ITEM NOT FOUND,1,1,0,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1df0a7214ada1000564
39,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,0,2,1,1,028400642255,1,10.00,1,null,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,null,null,null,null,null,null,null,null,null,null,800,null,null,null,null,null,null,5ff1e1df0a7214ada1000564
40,075925306254,null,1,1,null,1,null,1,null,null,null,null,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,5ff1e1b40a7214ada100055b
41,null,null,null,null,1,2,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
42,null,null,null,null,1,3,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
43,null,null,null,null,1,4,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
44,null,null,null,null,1,5,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
45,null,null,null,null,1,6,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
46,null,null,null,null,1,7,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
47,null,null,null,null,1,8,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
48,null,null,null,null,1,9,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
49,null,null,null,null,1,10,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
50,null,null,null,null,1,11,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1b40a7214ada100055b
51,4011,ITEM NOT FOUND,26.00,26.00,0,1,1,2,4011,1,26.00,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1eb0a720f0523000576
52,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1c80a720f052300056d
53,1234,null,null,null,1,2,1,null,1234,1,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1c80a720f052300056d
54,075925306254,null,1,1,0,1,null,1,null,null,null,null,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,5f9c74f90a7214ad07000038
55,075925306254,null,10.00,10.00,0,2,1,2,075925306254,1,10.00,2,null,null,null,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,null,075925306254,null,null,null,null,null,null,2,null,null,1,10.00,10.00,null,null,null,5f9c74f90a7214ad07000038
56,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,0,3,1,1,034100573065,1,1.00,1,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,034100573065,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,1,30.0,77,null,1.00,1.00,null,null,null,5f9c74f90a7214ad07000038
57,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,0,4,1,1,034100573065,1,1.00,1,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,034100573065,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,1,30.0,77,null,1.00,1.00,null,null,null,5f9c74f90a7214ad07000038
58,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,0,5,1,1,034100573065,1,1.00,1,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,30.0,77,null,null,null,null,null,null,5f9c74f90a7214ad07000038
59,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1960a720f0523000567
60,4011,ITEM NOT FOUND,21.00,21.00,0,1,1,2,4011,1,21.00,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1ec0a7214ada100056c
61,041000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,null,1,null,1,null,null,null,null,null,null,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,null,null,null,null,null,null,null,null,null,10.0,800,null,null,null,null,null,null,5ff1e1d70a720f0523000571
62,2700719497082,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,1,null,2,null,1,null,null,null,null,null,null,5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,5332f5f6e4b03c9a25efd0b4,null,null,null,null,null,null,null,null,null,10.0,800,null,null,null,null,null,null,5ff1e1d70a720f0523000571
63,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1c60a7214ada100055e
64,1234,null,null,null,1,2,1,null,1234,1,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1c60a7214ada100055e
65,4011,ITEM NOT FOUND,27.00,27.00,0,1,1,5,4011,1,27.00,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1ee0a7214ada1000570
66,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1cf0a720f0523000570
67,1234,null,null,null,1,2,1,null,1234,1,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1cf0a720f0523000570
68,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,0,1,1,1,079400066619,null,null,null,null,null,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,null,080878042197,null,null,null,null,null,null,null,10.0,800,1,null,null,null,null,null,5ff1e1e10a720f0523000572
69,null,DELETED ITEM,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,5ff1e1d40a7214ada1000562
70,051500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,null,2,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1d40a7214ada1000562
71,4011,ITEM NOT FOUND,27.00,27.00,0,1,1,4,4011,1,27.00,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1ee0a720f0523000578
72,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,1,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
73,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,2,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
74,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,3,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
75,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,4,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
76,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,5,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
77,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,6,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
78,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,7,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
79,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,8,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
80,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,9,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
81,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,null,10,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff371030a7214ada10005a5
82,071040063102,null,0.99,0.99,null,1,null,1,null,null,null,null,null,null,null,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,5ff36dcc0a720f05230005b1
83,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,1,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
84,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,2,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
85,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,3,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
86,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,4,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
87,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,5,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
88,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,6,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
89,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,7,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
90,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,8,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
91,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,null,9,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36c750a7214ada100058f
92,041129002292,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,1,null,1,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,CLASSICO PESTO,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff36d860a720f05230005a7
93,043000946060,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,1,null,1,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,5.0,800,null,null,null,null,null,null,5ff36d9f0a720f05230005ab
94,044700009888,OSCAR MAYER Cotto Salami- 12 oz,9.99,9.99,null,1,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36adb0a720f0523000590
95,044700009888,OSCAR MAYER Cotto Salami- 12 oz,9.99,9.99,null,2,null,1,null,null,null,null,null,null,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,50.0,800,null,null,null,null,null,null,5ff36adb0a720f0523000590
